imageId,predicted_labels
3001.jpg,"[""u'66'"", ""u'105'"", ""u'153'""]"
3002.jpg,"[""u'66'"", ""u'20'"", ""u'153'"", ""u'171'"", ""u'62'""]"
3003.jpg,"[""u'66'"", ""u'105'"", ""u'153'""]"
3004.jpg,"[""u'66'"", ""u'105'"", ""u'153'"", ""u'17'""]"
3005.jpg,"[""u'66'"", ""u'105'""]"
3006.jpg,"[""u'66'"", ""u'153'"", ""u'164'"", ""u'106'"", ""u'53'""]"
3007.jpg,"[""u'66'"", ""u'105'"", ""u'106'""]"
3008.jpg,"[""u'105'"", ""u'106'"", ""u'49'""]"
3009.jpg,"[""u'66'"", ""u'171'""]"
3010.jpg,"[""u'66'"", ""u'171'""]"
3011.jpg,"[""u'66'"", ""u'105'"", ""u'153'""]"
3012.jpg,"[""u'66'""]"
3013.jpg,"[""u'66'"", ""u'171'""]"
3014.jpg,"[""u'66'"", ""u'171'""]"
3015.jpg,"[""u'66'"", ""u'105'"", ""u'106'""]"
3016.jpg,"[""u'66'"", ""u'105'"", ""u'153'""]"
3017.jpg,"[""u'66'"", ""u'105'"", ""u'153'""]"
3018.jpg,"[""u'66'"", ""u'105'""]"
3019.jpg,"[""u'66'"", ""u'105'"", ""u'153'"", ""u'138'"", ""u'88'""]"
3020.jpg,"[""u'105'"", ""u'106'""]"
3021.jpg,"[""u'66'"", ""u'105'"", ""u'17'""]"
3022.jpg,"[""u'66'"", ""u'171'""]"
3023.jpg,"[""u'105'"", ""u'106'"", ""u'49'""]"
3024.jpg,"[""u'66'"", ""u'105'"", ""u'153'""]"
3025.jpg,"[""u'105'"", ""u'106'"", ""u'49'"", ""u'61'""]"
3026.jpg,"[""u'66'"", ""u'105'""]"
3027.jpg,"[""u'105'"", ""u'106'""]"
3028.jpg,"[""u'66'"", ""u'20'"", ""u'153'"", ""u'171'""]"
3029.jpg,"[""u'66'"", ""u'105'"", ""u'153'""]"
3030.jpg,"[""u'105'"", ""u'153'"", ""u'138'"", ""u'164'"", ""u'190'"", ""u'106'"", ""u'53'""]"
3031.jpg,"[""u'66'"", ""u'105'"", ""u'153'"", ""u'171'""]"
3032.jpg,"[""u'66'"", ""u'105'"", ""u'153'""]"
3033.jpg,"[""u'66'"", ""u'105'"", ""u'153'""]"
3034.jpg,"[""u'105'"", ""u'106'"", ""u'49'"", ""u'61'""]"
3035.jpg,"[""u'66'"", ""u'153'""]"
3036.jpg,"[""u'66'"", ""u'105'"", ""u'153'"", ""u'171'"", ""u'17'""]"
3037.jpg,"[""u'66'"", ""u'105'""]"
3038.jpg,"[""u'66'"", ""u'105'"", ""u'153'""]"
3039.jpg,"[""u'66'"", ""u'153'"", ""u'138'""]"
3040.jpg,"[""u'66'"", ""u'105'"", ""u'153'"", ""u'171'""]"
3041.jpg,"[""u'105'"", ""u'106'"", ""u'49'"", ""u'91'"", ""u'205'"", ""u'143'""]"
3042.jpg,"[""u'66'"", ""u'212'""]"
3043.jpg,"[""u'66'"", ""u'105'"", ""u'153'""]"
3044.jpg,"[""u'66'""]"
3045.jpg,"[""u'66'"", ""u'105'"", ""u'153'""]"
3046.jpg,"[""u'66'"", ""u'137'"", ""u'176'""]"
3047.jpg,"[""u'66'"", ""u'153'"", ""u'106'""]"
3048.jpg,"[""u'66'""]"
3049.jpg,"[""u'66'"", ""u'153'"", ""u'171'""]"
3050.jpg,"[""u'105'"", ""u'106'"", ""u'49'""]"
3051.jpg,"[""u'66'"", ""u'105'"", ""u'153'"", ""u'171'""]"
3052.jpg,"[""u'105'"", ""u'106'""]"
3053.jpg,"[""u'66'"", ""u'105'"", ""u'153'""]"
3054.jpg,"[""u'66'"", ""u'105'"", ""u'153'"", ""u'106'""]"
3055.jpg,"[""u'66'"", ""u'105'"", ""u'153'""]"
3056.jpg,"[""u'66'""]"
3057.jpg,"[""u'66'"", ""u'105'""]"
3058.jpg,"[""u'105'"", ""u'106'""]"
3059.jpg,"[""u'66'"", ""u'137'"", ""u'176'""]"
3060.jpg,"[""u'66'""]"
3061.jpg,"[""u'105'"", ""u'106'"", ""u'49'""]"
3062.jpg,"[""u'66'"", ""u'105'"", ""u'171'""]"
3063.jpg,"[""u'66'"", ""u'153'""]"
3064.jpg,"[""u'105'"", ""u'106'"", ""u'49'""]"
3065.jpg,"[""u'66'"", ""u'105'""]"
3066.jpg,"[""u'66'"", ""u'105'"", ""u'153'""]"
3067.jpg,"[""u'66'"", ""u'20'"", ""u'153'"", ""u'171'"", ""u'17'"", ""u'62'""]"
3068.jpg,"[""u'66'"", ""u'105'""]"
3069.jpg,"[""u'66'"", ""u'105'"", ""u'153'"", ""u'171'""]"
3070.jpg,"[""u'66'"", ""u'105'""]"
3071.jpg,"[""u'66'"", ""u'171'""]"
3072.jpg,"[""u'66'""]"
3073.jpg,"[""u'66'"", ""u'105'"", ""u'153'"", ""u'171'""]"
